Year,2021,2021,2021,2021,2021,2021,2021,2021
By nationality(2),Total,0-20,21-30,31-40,41-50,51-60,61 and Over,Crew
Total,90150,5677,14043,12866,8002,6135,3456,39971
China,11691,341,1437,1902,1184,1323,669,4835
Japan,1007,86,235,173,184,123,58,148
Taiwan,290,7,55,47,28,12,10,131
Hong Kong,113,7,28,30,13,17,3,15
Macau,6,3,0,1,0,1,1,0
Philippines,11141,29,1081,1205,796,363,56,7611
Indonesia,5066,78,1165,747,411,95,14,2556
Thailand,804,41,266,222,55,28,11,181
Vietnam,3751,1455,658,373,297,265,98,605
India,2459,55,467,543,207,61,15,1111
Malaysia,451,7,68,84,42,21,9,220
Singapore,3676,476,1184,700,542,350,86,338
Mongolia,1268,364,448,254,94,71,37,0
Uzbekistan,923,15,321,322,141,49,57,18
Myanmar,5669,56,672,918,423,124,15,3461
GCC,356,99,46,73,31,14,5,88
Kazakhstan,265,19,27,38,41,22,23,95
Turkey,415,5,42,27,15,9,4,313
Cambodia,580,6,374,133,22,32,13,0
Sri Lanka,600,7,234,180,29,2,0,148
Bangladesh,596,28,198,158,52,9,0,151
Pakistan,283,24,90,109,25,8,0,27
Israel,90,2,8,17,27,16,8,12
Iran,43,5,14,18,3,2,0,1
Asia(Others),1848,58,824,724,137,30,21,54
USA,16805,1601,2018,1740,1483,1659,1216,7088
Canada,3985,76,357,277,181,261,188,2645
Brazil,154,21,26,13,13,11,2,68
Mexico,230,11,29,20,11,4,3,152
Americas(Others),205,15,39,35,22,16,2,76
Russia,3040,155,257,312,292,218,230,1576
United Kingdom,889,60,152,173,115,81,42,266
Germany,1822,73,138,128,115,98,48,1222
France,1236,73,189,144,82,47,21,680
Itary,286,7,37,37,33,23,13,136
Netherlands,936,16,42,32,29,23,10,784
Ukraine,1096,17,77,123,73,49,21,736
Spain,203,13,33,32,28,14,12,71
Romania,360,0,32,48,37,34,10,199
Norway,59,8,10,12,9,10,0,10
Sweden,131,17,23,24,24,10,9,24
Poland,293,7,15,26,14,10,4,217
Switzerland,98,11,14,24,16,14,3,16
Portugal,72,0,9,9,5,2,1,46
Austria,115,1,6,16,13,6,3,70
Finland,258,5,7,6,10,6,1,223
Belgium,160,4,25,13,12,5,5,96
Croatia,164,3,17,26,23,10,5,80
Greece,430,9,75,72,38,27,10,199
Bulgaria,156,0,7,6,10,7,2,124
Denmark,107,6,15,19,13,9,6,39
Ireland,91,5,13,22,11,3,1,36
Europe other,555,27,63,59,22,14,6,364
Australia,683,96,101,111,157,95,48,75
New Zealand,234,10,35,35,32,20,19,83
Ocean(Others),6,0,1,0,1,1,0,3
South Africa Union,103,0,42,19,9,2,1,30
Africa(Others),749,46,84,116,54,25,6,418
Other continents,6,0,0,3,3,0,0,0
Overseas Korean,1042,11,113,136,213,274,295,0